value,label
41012050252040,Kishwaukee Elem School
41012050252041,Julia Lathrop Elem School
41012050252043,McIntosh Elementary
41012050252047,John Nelson Elem School
41012050252051,Riverdahl Elem School
41012050252054,Rolling Green
41012050252056,Spring Creek Elem School
41012050252059,A C Thompson Elem School
41012050252063,R K Welsh Elem School
41012050252064,West View Elem School
41012050252066,Whitehead Elem School
41012050252067,White Swan Elem School
41012050252078,Thurgood Marshall Elementary
41012050252080,King Elementary School
41012050252084,Lewis Lemon Elementary
41012050252085,Montessori Elementary School
41012050252086,Rockford Envrnmntl Science Acad
41012050252087,Thurgood Marshall School
41013200260001,South Beloit Sr High School
41012070160001,Hononegah High School
41013200261002,South Beloit Jr High School
41013200262005,Blackhawk Elementary School
41013210260001,Pecatonica High School
41013210261001,Pecatonica Comm Middle School
41013210262002,Pecatonica Elem School
41013220260001,Durand High School
41013220261001,Durand Jr High School
41013220262001,Durand Elem School
41013230260001,Winnebago High School
41013230261002,Winnebago Middle School
41013230262003,Dorothy Simon Elem School
41013230262005,Jean McNair Elementary School
50160150041011,Plum Grove Jr High School
50160150041014,Carl Sandburg Jr High School
50160150041016,Winston Campus Jr High
50160150041018,Walter R Sundling Jr High Sch
50160150042001,Jane Addams Elem School
50160150042003,Central Road Elem School
50160150042004,Marion Jordan Elem School
50160150042005,Kimball Hill Elem School
50160150042006,Hunting Ridge Elem School
50160150042007,Lake Louise Elem School
50160150042008,Lincoln Elementary School
50160150042009,Stuart R Paddock School
50160150042010,Pleasant Hill Elem School
50160150042013,Gray M Sanborn Elem School
50160150042015,Virginia Lake Elem School
50160150042018,Willow Bend Elem School
50160150042019,Winston Campus Elementary
50160150042020,Thomas Jefferson Elem School
50160150042023,Frank C Whiteley Elem School
50160210041002,Cooper Middle School
50160210041006,Oliver W Holmes Middle School
50160210041007,Jack London Middle School
50160210042003,Eugene Field Elem School
50160210042004,Robert Frost Elem School
50160210042007,Joyce Kilmer Elem School
50160210042009,Henry W Longfellow Elem School
50160210042010,Edgar A Poe Elem School
50160210042011,J W Riley Elem School
50160210042013,Booth Tarkington Elem School
50160210042014,Mark Twain Elem School
50160210042015,Walt Whitman Elem School
50160230021002,MacArthur Middle School
50160230022001,Dwight D Eisenhower Elem School
50160230022004,Betsy Ross Elem School
50160230022005,Anne Sullivan Elem School
50160250021014,South Middle School
50160250021015,Thomas Middle School
50160250022002,Dryden Elem School
50160250022004,Greenbrier Elem School
50160250022005,Ivy Hill Elem School
50160250022009,Olive-Mary Stitt School
50160250022011,Patton Elem School
50160250022016,Westgate Elem School
50160250022018,Windsor Elementary School
50160260021006,River Trails Middle School
50160260022001,Euclid Elem School
50160260022003,Indian Grove Elem School
50160270021005,Wood Oaks Jr High School
50160270022002,Hickory Point Elem School
50160270022004,Shabonee School
50160280021004,Northbrook Junior High School
50160280022002,Greenbriar Elem School
50160280022003,Meadowbrook Elem School
50160280022006,Westmoor Elem School
50160290022001,Middlefork Primary School
50160290022002,Sunset Ridge Elem School
50160300021001,Maple School
50160300022002,Willowbrook Elem School
50160300022003,Wescott Elementary School
50160310021001,Field School
50160310022002,Henry Winkelman Elem School
50160340041006,Attea Middle School
50160340041007,Springman Middle School
50160340042001,Glen Grove Elem School
50160340042002,Henking Elem School
50160340042003,Hoffman Elem School
50160340042004,Lyon Elem School
50160340042005,Pleasant Ridge Elem School
50160340042008,Westbrook Elementary School
50160350021001,Central School
50160350022001,West School
50160350022002,South Elem School
50160360021005,Carleton W Washburne School
50160360022001,Crow Island Elem School
50160360022002,Greeley Elem School
50160360022003,Hubbard Woods Elem School
50160360022004,The Skokie School
50160370021001,Marie Murphy School
50160370022003,Avoca West Elem School
50160380022001,The Joseph Sears School
50160390021008,Wilmette Junior High School
50160390022002,Central Elem School
50160390022003,Harper Elem School
50160390022005,McKenzie Elem School
50160390022006,Romona Elem School
50160390022007,Highcrest Middle School
50160540041001,Jane Addams JHS
50160540041012,Robert Frost JHS
50160540041018,Dwight D Eisenhower JHS
50160540041019,Margaret Mead JHS
50160540041020,Helen Keller JHS
50160540042002,Buzz Aldrin Elem School
50160540042003,Neil Armstrong Elem School
50160540042005,Campanelli Elem School
50160540042006,Winston Churchill Elem School
50160540042007,Michael Collins Elem School
50160540042008,Everett Dirksen Elementary Sch
50160540042009,Thomas Dooley Elem School
50160540042010,Fairview Elem School
50160540042011,Anne Fox Elem School
50160540042013,Hanover Highlands Elem School
50160540042015,Nathan Hale Elem School
50160540042018,Lakeview Elem School
50160540042019,MacArthur Intrntl Spanish Acad
50160540042022,John Muir Literacy Academy
50160540042023,Adolph Link Elem School
50160540042026,Albert Einstein Elem School
50160540042027,Hoover Math and Science Academy
50160540042028,Adlai Stevenson Elem School
50160540042029,Frederick Nerge Elem School
50160540042030,Enders-Salk Elem School
