schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Multicultural Acad Scholarshp HS,City of Chicago SD 299,659,664,648,828.4,415.2,413.2,956.1,483.7,472.5,406,406,393
Amandla Charter School,Amandla Charter School,660,663,652,827.3,415.3,412,827.3,415.3,412,709,709,708
Harlan Community Academy HS,City of Chicago SD 299,661,652,673,824.7,425.9,398.8,956.1,483.7,472.5,406,406,393
Julian High School,City of Chicago SD 299,662,651,677,822.9,426.3,396.6,956.1,483.7,472.5,406,406,393
Bogan High School,City of Chicago SD 299,663,660,664,822.8,417.7,405.1,956.1,483.7,472.5,406,406,393
Tilden Career Communty Academy HS,City of Chicago SD 299,664,680,652,817.3,405.3,412,956.1,483.7,472.5,406,406,393
Sullivan High School,City of Chicago SD 299,665,684,645,817.2,403.9,413.4,956.1,483.7,472.5,406,406,393
Wells Community Academy HS,City of Chicago SD 299,666,672,662,815.4,409.9,405.5,956.1,483.7,472.5,406,406,393
Gage Park High School,City of Chicago SD 299,667,669,666,814.4,411.8,402.6,956.1,483.7,472.5,406,406,393
Cahokia High School,Cahokia CUSD 187,668,666,668,813.6,413.4,400.2,813.6,413.4,400.2,710,710,710
North Lawndale Prep Chtr - Christ,City of Chicago SD 299,669,687,656,812.7,402.9,409.9,956.1,483.7,472.5,406,406,393
Marshall Metropolitan High School,City of Chicago SD 299,670,665,675,810.9,413.7,397.2,956.1,483.7,472.5,406,406,393
Foreman High School,City of Chicago SD 299,671,686,658,810.8,403,407.8,956.1,483.7,472.5,406,406,393
East St Louis Senior High School,East St Louis SD 189,672,673,674,807.4,409.4,398.1,808.7,410.5,398.2,711,711,711
YCCS Chtr - Chatham,City of Chicago SD 299,673,678,670,805.5,405.5,400,956.1,483.7,472.5,406,406,393
YCCS-ASPIRA Pantoja Alt HS,City of Chicago SD 299,674,670,681,804.4,411,393.3,956.1,483.7,472.5,406,406,393
Dunbar Vocational Career Acad HS,City of Chicago SD 299,675,671,681,803.9,410.5,393.3,956.1,483.7,472.5,406,406,393
YCCS-West Town Academy Alt HS,City of Chicago SD 299,676,674,680,803.8,409.2,394.6,956.1,483.7,472.5,406,406,393
Bowen High School,City of Chicago SD 299,676,676,678,803.8,407.3,396.5,956.1,483.7,472.5,406,406,393
YCCS-Westside Holistic Ldr Acad,City of Chicago SD 299,678,685,671,803.1,403.8,399.4,956.1,483.7,472.5,406,406,393
YCCS-Latino Youth Alternative HS,City of Chicago SD 299,679,667,689,802,413.3,388.7,956.1,483.7,472.5,406,406,393
Austin College and Career Acad HS,City of Chicago SD 299,680,677,679,801.7,405.9,395.8,956.1,483.7,472.5,406,406,393
Collins Academy High School,City of Chicago SD 299,681,690,669,800.9,400.8,400.1,956.1,483.7,472.5,406,406,393
Manley Career Academy High School,City of Chicago SD 299,682,688,675,799.2,402.1,397.2,956.1,483.7,472.5,406,406,393
Corliss High School,City of Chicago SD 299,683,675,687,798.9,408.2,390.7,956.1,483.7,472.5,406,406,393
Raby High School,City of Chicago SD 299,684,683,686,795.5,404.3,391.3,956.1,483.7,472.5,406,406,393
YCCS-Jane Addams Alternative HS,City of Chicago SD 299,685,689,684,793.6,401.4,392.1,956.1,483.7,472.5,406,406,393
Hope College Prep High School,City of Chicago SD 299,686,692,683,789.6,396.7,392.9,956.1,483.7,472.5,406,406,393
YBMC Charter Sch,McLean County USD 5,687,654,703,787.1,425.7,361.4,1052.6,528.4,524.2,113,116,114
YCCS-Olive Harvey Mid College HS,City of Chicago SD 299,688,691,691,786.7,400.7,386,956.1,483.7,472.5,406,406,393
Chicago Excel Academy HS,City of Chicago SD 299,689,695,685,785.3,393.4,391.8,956.1,483.7,472.5,406,406,393
Orr Academy High School,City of Chicago SD 299,690,693,690,784.4,396.1,388.3,956.1,483.7,472.5,406,406,393
YCCS-CCA Academy HS,City of Chicago SD 299,691,678,695,783.1,405.5,377.6,956.1,483.7,472.5,406,406,393
Harper High School,City of Chicago SD 299,692,682,696,780.9,404.7,376.2,956.1,483.7,472.5,406,406,393
YCCS-Community Youth Dev Inst HS,City of Chicago SD 299,693,697,688,780.7,391.9,388.9,956.1,483.7,472.5,406,406,393
Hirsch Metropolitan High School,City of Chicago SD 299,694,681,697,779.2,405.1,374.1,956.1,483.7,472.5,406,406,393
YCCS-Assoc Hse El Cuarto Ano HS,City of Chicago SD 299,695,705,672,778.3,379.2,399.2,956.1,483.7,472.5,406,406,393
YCCS-Albizu Campus Puerto Rican,City of Chicago SD 299,695,696,691,778.3,392.3,386,956.1,483.7,472.5,406,406,393
Team Englewood Comm Acad HS,City of Chicago SD 299,695,694,693,778.3,393.8,384.5,956.1,483.7,472.5,406,406,393
YCCS-Austin Career Ed Cntr HS,City of Chicago SD 299,698,668,705,772,412,360,956.1,483.7,472.5,406,406,393
YCCS-McKinley-Lakeside Leadership,City of Chicago SD 299,699,701,694,765.2,384.1,381.1,956.1,483.7,472.5,406,406,393
Richards Career Academy HS,City of Chicago SD 299,700,698,698,764.2,390.8,373.5,956.1,483.7,472.5,406,406,393
YCCS-Innovations of Arts Integr,City of Chicago SD 299,701,699,701,755,388,367,956.1,483.7,472.5,406,406,393
YCCS-Sullivan House Alt HS,City of Chicago SD 299,702,700,702,750.9,386.4,364.5,956.1,483.7,472.5,406,406,393
Douglass Academy High School,City of Chicago SD 299,703,704,700,750.7,381,369.8,956.1,483.7,472.5,406,406,393
YCCS-Progressive Leadership Acad,City of Chicago SD 299,704,706,699,747.1,374.1,372.9,956.1,483.7,472.5,406,406,393
Robeson High School,City of Chicago SD 299,705,702,704,743.2,382.2,361.1,956.1,483.7,472.5,406,406,393
YCCS-Scholastic Achievement HS,City of Chicago SD 299,706,703,705,741.4,381.4,360,956.1,483.7,472.5,406,406,393
Legacy Acad of Excellence Charter,Rockford SD 205,n/a,n/a,n/a,No score reported,No score reported,No score reported,942.9,479,464,601,590,600
YCCS-Youth Connection Leadership,City of Chicago SD 299,n/a,n/a,n/a,No score reported,No score reported,No score reported,956.1,483.7,472.5,406,406,393
Aspira Charter - Bus and Fin,City of Chicago SD 299,n/a,n/a,n/a,No score reported,No score reported,No score reported,956.1,483.7,472.5,406,406,393
Chicago International Charter,City of Chicago SD 299,n/a,n/a,n/a,No score reported,No score reported,No score reported,956.1,483.7,472.5,406,406,393
Eugene Field School,McLean County USD 5,n/a,n/a,n/a,No score reported,No score reported,No score reported,1052.6,528.4,524.2,113,116,114
Ohio Community High School,Ohio CHSD 505,n/a,n/a,n/a,No score reported,No score reported,No score reported,No score reported,No score reported,No score reported,n/a,n/a,n/a
Dongola High School,Dongola USD 66,n/a,n/a,n/a,No score reported,No score reported,No score reported,No score reported,No score reported,No score reported,n/a,n/a,n/a
Cambridge Lakes Charter School,CUSD 300,n/a,n/a,n/a,No score reported,No score reported,No score reported,1028,518.1,509.9,165,165,178
Lovejoy Technology Academy,Brooklyn UD 188,n/a,n/a,n/a,No score reported,No score reported,No score reported,No score reported,No score reported,No score reported,n/a,n/a,n/a
