schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Oblong High School,Oblong CUSD 4,112,119,106,1060.4,531.3,529.2,1060.4,531.3,529.2,101,108,99
Westmont High School,CUSD 201,113,104,132,1059.3,536.6,522.6,1059.3,536.6,522.6,103,89,126
Eureka High School,Eureka CUD 140,114,95,136,1059.1,538.4,520.7,1059.1,538.4,520.7,104,86,130
Wauconda High School,Wauconda CUSD 118,115,102,139,1057.6,537.2,520.4,1054,535.3,518.7,111,92,135
Glenwood High School,Ball Chatham CUSD 5,116,120,114,1057.4,531.2,526.2,1057.4,531.2,526.2,108,109,105
Highland High School,Highland CUSD 5,117,143,101,1056.9,525,531.9,1056.9,525,531.9,109,129,90
Freeburg Community High Sch,Freeburg CHSD 77,118,110,125,1056.5,533.2,523.3,1056.5,533.2,523.3,110,98,120
Dieterich Jr/Sr High School,Dieterich CUSD 30,119,133,108,1056,527.3,528.7,1060.3,531,529.4,102,110,97
Oswego High School,CUSD 308,120,134,109,1055.3,527.2,528,1057.6,528.8,528.8,106,114,101
Phoenix Military Academy HS,City of Chicago SD 299,121,82,165,1055.2,541.4,513.8,956.1,483.7,472.5,406,406,393
Cissna Park Sr High School,Cissna Park CUSD 6,122,138,111,1052.7,525.9,526.8,1052.7,525.9,526.8,112,127,103
Alden-Hebron High School,Alden Hebron SD 19,123,91,170,1052.5,539,513.5,1052.5,539,513.5,117,84,155
Grant Park High School,Grant Park CUSD 6,124,125,127,1052.4,529.2,523.2,1052.4,529.2,523.2,118,113,122
Teutopolis High School,Teutopolis CUSD 50,125,195,88,1052.2,517.2,535,1052.2,517.2,535,119,179,80
Pecatonica High School,Pecatonica CUSD 321,126,193,94,1051.9,517.8,534.1,1051.9,517.8,534.1,120,173,85
King College Prep High School,City of Chicago SD 299,127,98,169,1051.5,537.8,513.7,956.1,483.7,472.5,406,406,393
Stillman Valley High School,Meridian CUSD 223,128,84,199,1051.4,541.1,510.2,1051.4,541.1,510.2,121,76,175
Coal City High School,Coal City CUSD 1,129,127,133,1050.4,528.1,522.3,1050.4,528.1,522.3,122,121,127
Dee-Mack High School,Deer Creek-Mackinaw CUSD 701,130,145,117,1050.3,524.4,525.8,1050.3,524.4,525.8,123,131,108
Minooka Community High School,Minooka CHSD 111,131,100,189,1048.7,537.5,511.2,1048.7,537.5,511.2,124,87,170
Lockport Township High Sch East,Lockport Twp HSD 205,132,150,129,1046.5,523.7,522.9,1046.5,523.7,522.9,128,135,123
Rochester High School,Rochester CUSD 3A,133,116,159,1046.3,531.7,514.7,1046.3,531.7,514.7,129,106,150
Westinghouse High School,City of Chicago SD 299,134,131,144,1045.7,527.7,518,956.1,483.7,472.5,406,406,393
East Dubuque High School,East Dubuque USD 119,135,181,115,1045.5,519.5,526,1045.5,519.5,526,130,158,106
Unity High School,Tolono CUSD 7,136,166,124,1045.1,521.7,523.4,1042.5,520.4,522.1,136,154,128
Cerro Gordo Jr and Sr High Sch,Cerro Gordo CUSD 100,137,74,246,1044.7,543.2,501.6,1044.7,543.2,501.6,131,65,216
Galena High School,Galena USD 120,138,134,149,1044.5,527.2,517.2,1044.5,527.2,517.2,132,125,142
Indian Creek High School,Indian Creek CUSD 425,139,178,122,1044.2,519.8,524.3,1044.1,519.5,524.6,133,158,113
Orangeville High School,Orangeville CUSD 203,140,153,137,1043.9,523.3,520.6,1043.9,523.3,520.6,134,137,131
Valmeyer High School,Valmeyer CUSD 3,140,112,190,1043.9,532.8,511.1,1043.9,532.8,511.1,134,99,171
Victor J Andrew High School,Cons HSD 230,142,185,121,1043.6,518.9,524.8,1047,521.4,525.6,125,147,110
Sycamore High School,Sycamore CUSD 427,143,160,141,1042.4,522.1,520.3,1042.4,522.1,520.3,137,143,134
Geneseo High School,Geneseo CUSD 228,144,144,153,1041.1,524.6,516.5,1041.1,524.6,516.5,138,130,147
Wesclin Sr High School,Wesclin CUSD 3,145,181,135,1040.7,519.5,521.2,1040.7,519.5,521.2,139,158,129
Willowbrook High School,DuPage HSD 88,145,141,155,1040.7,525.1,515.6,1005.4,504.3,501.1,229,245,221
Lena-Winslow High School,Lena Winslow CUSD 202,147,126,182,1040.4,528.2,512.1,1040.4,528.2,512.1,140,120,163
Bloomington High School,Bloomington SD 87,147,136,170,1040.4,526.9,513.5,1040.4,526.9,513.5,140,126,155
Hampshire High School,CUSD 300,149,137,172,1039.7,526.2,513.4,1028,518.1,509.9,165,165,178
Yorkville High School,Yorkville CUSD 115,150,158,152,1039.1,522.4,516.7,1039.1,522.4,516.7,142,141,146
Auburn High School,Rockford SD 205,151,164,147,1039,521.8,517.3,942.9,479,464,601,590,600
Kenwood Academy High School,City of Chicago SD 299,152,122,207,1038.7,530.1,508.6,956.1,483.7,472.5,406,406,393
Plainfield East High School,Plainfield SD 202,153,179,142,1038.3,519.7,518.6,1036.4,517.7,518.7,148,174,135
Roanoke-Benson High School,Roanoke Benson CUSD 60,154,155,162,1037.6,523,514.6,1037.6,523,514.6,143,139,152
Carrollton High School,Carrollton CUSD 1,155,174,151,1037.2,520.2,517,1037.2,520.2,517,144,157,144
Lisle High School,Lisle CUSD 202,156,158,159,1037.1,522.4,514.7,1037.1,522.4,514.7,145,141,150
Brimfield High School,Brimfield CUSD 309,157,156,165,1036.6,522.9,513.8,1036.6,522.9,513.8,146,140,153
New Berlin High School,New Berlin CUSD 16,158,129,208,1036.5,528,508.5,1036.5,528,508.5,147,123,187
Noble St Chtr-Chicago Bulls Prep,City of Chicago SD 299,159,216,134,1036,513.8,522.2,956.1,483.7,472.5,406,406,393
GCMS High School,Gibson City-Melvin-Sibley CUSD 5,160,186,149,1035.8,518.7,517.2,1035.8,518.7,517.2,152,162,142
Noble St Chtr-Noble Campus,City of Chicago SD 299,160,239,118,1035.8,510.1,525.7,956.1,483.7,472.5,406,406,393
McHenry  East High School,McHenry CHSD 156,162,140,201,1035.6,525.5,510.1,1015.4,515.9,499.5,203,185,234
Mundelein Cons High School,Mundelein Cons HSD 120,163,139,204,1035.5,525.8,509.7,1035,525.6,509.4,154,128,183
Central Comm High School,Central CHSD 71,164,229,125,1035.3,512,523.3,1035.3,512,523.3,153,203,120
Prairie Central High School,Prairie Central CUSD 8,165,154,194,1033.8,523.1,510.8,1033.8,523.1,510.8,155,138,173
Tuscola High School,Tuscola CUSD 301,166,127,220,1033.7,528.1,505.6,1033.7,528.1,505.6,156,121,197
Mt Olive High School,Mount Olive CUSD 5,167,114,249,1033.4,532.6,500.8,1033.4,532.6,500.8,157,100,224
Noble St Chtr-The Noble Academy,City of Chicago SD 299,168,141,210,1032.6,525.1,507.4,956.1,483.7,472.5,406,406,393
Heyworth Jr-Sr High School,Heyworth CUSD 4,169,168,191,1032.3,521.3,511,1032.3,521.3,511,158,150,172
Normal Community West High School,McLean County USD 5,170,176,188,1031.4,520.1,511.3,1052.6,528.4,524.2,113,116,114
Milford High School Campus,Milford Area PSD 124,171,189,173,1031.3,518.1,513.2,1024,514,510,179,193,177
Herscher High School,Herscher CUSD 2,171,267,118,1031.3,505.6,525.7,1031.3,505.6,525.7,159,239,109
Evergreen Park High School,Evergreen Park CHSD 231,173,186,179,1031.2,518.7,512.5,1031.2,518.7,512.5,160,162,159
Central High School,Champaign CUSD 4,174,197,163,1031.1,516.7,514.4,1016.1,507.5,508.6,199,232,185
Grant Community High School,Grant CHSD 124,175,188,176,1031,518.2,512.8,1028.6,517.1,511.5,162,180,167
Wheeling High School,Township HSD 214,176,222,147,1030.3,513.1,517.3,1104.8,552,552.8,37,41,37
Glenbard North High School,Glenbard Twp HSD 87,177,203,164,1030.1,516,514,1063.9,532,531.9,93,102,90
Noble St Chtr-Pritzker Col Prep,City of Chicago SD 299,178,184,195,1029.8,519.3,510.6,956.1,483.7,472.5,406,406,393
Il Valley Central High School,Il Valley Central USD 321,178,230,145,1029.8,511.9,517.9,1028.5,511.5,517,163,206,144
Von Steuben Metro Science HS,City of Chicago SD 299,180,180,201,1029.7,519.6,510.1,956.1,483.7,472.5,406,406,393
Elmwood High School,Elmwood CUSD 322,181,151,218,1029.6,523.6,506,1029.6,523.6,506,161,136,195
Elk Grove High School,Township HSD 214,182,226,154,1028.7,512.2,516.4,1104.8,552,552.8,37,41,37
Woodstock High School,Woodstock CUSD 200,183,191,198,1028.3,518,510.3,1010.1,508.1,502,216,224,213
Riverdale Sr High School,Riverdale CUSD 100,184,208,175,1028.2,515.2,513,1028.2,515.2,513,164,190,157
Central High School,Central CUSD 4,185,202,184,1027.9,516.1,511.8,1027.9,516.1,511.8,169,184,164
Red Bud High School,Red Bud CUSD 132,186,205,181,1027.8,515.6,512.2,1027.8,515.6,512.2,170,188,162
Chicago HS for Agricult Sciences,City of Chicago SD 299,187,124,271,1027.6,529.8,497.8,956.1,483.7,472.5,406,406,393
Seymour High School,Payson CUSD 1,188,172,211,1027.3,520.3,507,1027.3,520.3,507,171,156,190
Richwoods High School,Peoria SD 150,189,167,222,1026.9,521.4,505.5,938.8,475.8,463,613,618,608
Maine West High School,Maine Township HSD 207,190,212,182,1026.7,514.6,512.1,1069.3,534.1,535.2,83,95,76
Somonauk High School,Somonauk CUSD 432,191,148,237,1026.5,524,502.5,1026.5,524,502.5,172,133,208
Pleasant Plains High School,Pleasant Plains CUSD 8,191,163,227,1026.5,521.9,504.5,1026.5,521.9,504.5,172,145,201
Durand High School,Durand CUSD 322,193,205,197,1026.2,515.6,510.5,1008.6,508.1,500.5,226,224,228
Marshall High School,Marshall CUSD 2C,194,157,234,1025.4,522.6,502.8,1022.3,520.7,501.6,181,153,216
Ridgeview High School,Ridgeview CUSD 19,194,199,205,1025.4,516.6,508.9,1025.4,516.6,508.9,174,183,184
Annawan High School,Annawan CUSD 226,196,225,177,1025.2,512.6,512.6,1025.2,512.6,512.6,175,201,158
Charleston High School,Charleston CUSD 1,197,169,231,1025,521,504,1019.7,518.5,501.2,186,164,219
Paw Paw Jr/Sr High School,Paw Paw CUSD 271,198,277,138,1024.5,504.1,520.5,1024.5,504.1,520.5,176,248,132
Amos Alonzo Stagg High School,Cons HSD 230,199,244,156,1024.4,508.9,515.5,1047,521.4,525.6,125,147,110
South Elgin High School,SD U-46,199,218,193,1024.4,513.5,510.9,979.5,493.2,486.2,321,336,310
Carlinville High School,Carlinville CUSD 1,199,241,158,1024.4,509.3,515.1,1024.4,509.3,515.1,177,216,149
LeRoy High School,LeRoy CUSD 2,202,263,143,1024.3,506,518.3,1024.3,506,518.3,178,238,140
Nashville Comm High School,Nashville CHSD 99,203,236,173,1023.6,510.4,513.2,1020.8,508.5,512.3,182,220,160
Springfield High School,Springfield SD 186,204,174,233,1023.5,520.2,503.3,953.7,484.4,469.4,565,399,568
Polo Comm High School,Polo CUSD 222,205,197,212,1023.3,516.7,506.7,1023.3,516.7,506.7,180,182,191
Carbondale Comm H S,Carbondale CHSD 165,206,231,191,1022.8,511.8,511,1017.3,509.8,507.5,195,215,189
Glenbard East High School,Glenbard Twp HSD 87,207,247,165,1022,508.2,513.8,1063.9,532,531.9,93,102,90
Mascoutah High School,Mascoutah CUD 19,207,177,241,1022,519.9,502.1,1018.9,518.1,500.9,189,165,223
Centennial High School,Champaign CUSD 4,209,258,159,1021.9,507.2,514.7,1016.1,507.5,508.6,199,232,185
Lincolnwood High School,Panhandle CUSD 2,210,210,220,1020.6,515,505.6,1020.6,515,505.6,183,191,197
Western High School,Western CUSD 12,211,194,238,1020,517.6,502.4,1020,517.6,502.4,184,178,209
Olympia High School,Olympia CUSD 16,212,250,184,1019.9,508.1,511.8,1019.9,508.1,511.8,185,224,164
Beecher High School,Beecher CUSD 200U,213,161,272,1019.7,522,497.7,1018.7,521.3,497.5,190,150,247
Morrison High School,Morrison CUSD 6,214,260,177,1019.5,506.9,512.6,1015.3,504,511.3,205,250,169
Beecher City Jr-Sr High School,Beecher City CUSD 20,215,322,139,1019.2,498.8,520.4,1019.2,498.8,520.4,187,286,133
Maine East High School,Maine Township HSD 207,216,224,216,1019.1,513,506.1,1069.3,534.1,535.2,83,95,76
Winnebago High School,Winnebago CUSD 323,217,220,219,1019,513.3,505.7,1019,513.3,505.7,188,197,196
Eastland Jr/Sr High School,Eastland CUSD 308,218,222,222,1018.6,513.1,505.5,1018.6,513.1,505.5,191,199,199
Elmwood Park High School,Elmwood Park CUSD 401,219,253,195,1018.5,507.9,510.6,1018.5,507.9,510.6,192,229,174
Ridgewood Comm High School,Ridgewood CHSD 234,220,207,234,1018.2,515.4,502.8,1018.2,515.4,502.8,193,189,206
Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,221,291,157,1017.9,502.6,515.2,1017.9,502.6,515.2,194,261,148
Chicago Math & Sci Elem Charter,City of Chicago SD 299,221,355,128,1017.9,494.9,523,956.1,483.7,472.5,406,406,393
El Paso-Gridley High School,El Paso-Gridley CUSD 11,223,130,325,1017.2,527.8,489.3,1017.2,527.8,489.3,196,124,286
Stockton Sr High School,Stockton CUSD 206,224,172,280,1016.8,520.3,496.5,1013.9,519,494.9,206,161,258
Okawville Jr/Sr High School,West Washington Co CUD 10,225,271,186,1016.7,505,511.7,1016.7,505,511.7,197,242,166
Fulton High School,River Bend CUSD 2,226,214,240,1016.6,514.4,502.2,1009.3,511.2,498,222,208,245
Princeton High School,Princeton HSD 500,227,204,250,1016.5,515.8,500.7,1016.5,515.8,500.7,198,187,225
Scales Mound High School,Scales Mound CUSD 211,228,373,130,1016,493.3,522.7,1016,493.3,522.7,201,333,124
Tremont High School,Tremont CUSD 702,229,215,244,1015.8,513.9,501.8,1015.8,513.9,501.8,202,194,215
Plainfield South High School,Plainfield SD 202,230,250,215,1014.3,508.1,506.2,1036.4,517.7,518.7,148,174,135
Nokomis Jr/Sr High Sch,Nokomis CUSD 22,231,277,203,1013.9,504.1,509.8,1013.9,504.1,509.8,206,248,182
Effingham High School,Effingham CUSD 40,232,244,225,1013.8,508.9,504.8,1013.8,508.9,504.8,208,219,200
Brown County High School,Brown County CUSD 1,233,217,260,1013.5,513.6,499.8,1013.5,513.6,499.8,209,195,233
Southland College Prep Chtr HS,Southland College Prep Chtr HS,234,161,311,1012.8,522,490.8,1012.8,522,490.8,210,144,279
Vienna High School,Vienna HSD 133,235,171,305,1012.5,520.4,492.1,1012.5,520.4,492.1,211,154,271
Staunton High School,Staunton CUSD 6,235,246,228,1012.5,508.3,504.2,1012.5,508.3,504.2,211,221,202
Palatine High School,Township HSD 211,237,272,209,1012.2,504.6,507.6,1093,542.2,550.8,55,67,52
Ogden Int High School,City of Chicago SD 299,237,200,286,1012.2,516.5,495.7,956.1,483.7,472.5,406,406,393
Greenfield High School,Greenfield CUSD 10,239,268,214,1011.6,505.2,506.4,1011.6,505.2,506.4,213,241,193
Hinckley-Big Rock High School,Hinckley Big Rock CUSD 429,240,235,254,1011,510.5,500.5,1011,510.5,500.5,214,213,228
R O W V A Jr and  Sr High School,R O W V A CUSD 208,240,242,241,1011,509,502.1,1011,509,502.1,214,217,211
Homewood-Flossmoor High School,Homewood Flossmoor CHSD 233,242,196,296,1010.6,517,493.6,1010.1,516.8,493.4,216,181,266
Pearl City High School,Pearl City CUSD 200,243,264,226,1010.5,505.9,504.6,1004.5,502.1,502.4,236,268,209
Clay City High School,Clay City CUSD 10,244,232,265,1010,511.3,498.8,1010,511.3,498.8,219,207,240
Noble St Chtr-Muchin College Prep,City of Chicago SD 299,245,238,261,1009.6,510.2,499.4,956.1,483.7,472.5,406,406,393
Southwestern High School,Southwestern CUSD 9,245,148,355,1009.6,524,485.7,1009.6,524,485.7,220,133,320
Altamont High School,Altamont CUSD 10,247,259,238,1009.5,507.1,502.4,1001.6,502.5,499.1,249,263,237
Tri-Point High School,Tri Point CUSD 6-J,248,164,332,1009.4,521.8,487.6,1000,518,482,253,171,340
Peotone High School,Peotone CUSD 207U,248,228,273,1009.4,512.1,497.4,1009.4,512.1,497.4,221,202,248
Gardner-South Wilmington Twp H S,Gardner S Wilmington Twp HSD 73,250,212,291,1009.2,514.6,494.6,1009.2,514.6,494.6,223,192,260
Sullivan High School,Sullivan CUSD 300,251,192,309,1009.1,517.9,491.3,1009.1,517.9,491.3,224,172,277
Jersey Comm High School,Jersey CUSD 100,252,311,206,1008.9,500.1,508.8,1008.1,499.8,508.3,227,280,188
Ashton-Franklin Center HS,Ashton-Franklin Center CUSD 275,252,288,216,1008.9,502.8,506.1,1008.9,502.8,506.1,225,259,194
Plainfield High School,Plainfield SD 202,254,287,224,1008.3,502.9,505.4,1036.4,517.7,518.7,148,174,135
Bureau Valley High School,Bureau Valley CUSD 340,255,272,241,1006.7,504.6,502.1,1006.7,504.6,502.1,228,243,211
Mount Carmel High School,Wabash CUSD 348,256,268,248,1006.2,505.2,501.1,1003.9,503.6,500.2,237,254,232
Spoon River Valley Sr High Sch,Spoon River Valley CUSD 4,257,201,327,1005.3,516.3,489,997.4,511.9,485.5,263,204,322
Bement High School,Bement CUSD 5,258,365,187,1005.2,493.8,511.4,1005.2,493.8,511.4,231,327,168
La Salle-Peru Twp High School,La Salle-Peru Twp HSD 120,259,253,274,1005.1,507.9,497.2,1005.1,507.9,497.2,232,229,249
Palestine High School,Palestine CUSD 3,260,262,265,1005,506.2,498.8,1005,506.2,498.8,233,237,240
Ottawa Township High School,Ottawa Twp HSD 140,261,247,277,1004.9,508.2,496.8,1004.9,508.2,496.8,234,222,251
Bond Cty Comm Unit 2 High School,Bond County CUSD 2,262,301,234,1004.6,501.8,502.8,1004.6,501.8,502.8,235,272,206
Community High School,CHSD 94,263,288,245,1004.5,502.8,501.7,1003.4,502.1,501.3,240,268,218
Seneca High School,Seneca Twp HSD 160,263,226,304,1004.5,512.2,492.2,1002.7,511,491.8,244,209,273
Bolingbrook High School,Valley View CUSD 365U,265,270,262,1004.4,505.1,499.3,1002.1,503.9,498.1,246,252,243
Pinckneyville Comm High School,Pinckneyville CHSD 101,266,391,180,1003.7,491.4,512.3,1003.7,491.4,512.3,238,352,160
Paxton-Buckley-Loda High School,Paxton-Buckley-Loda CUD 10,267,372,199,1003.6,493.4,510.2,1003.6,493.4,510.2,239,332,175
Liberty High School,Liberty CUSD 2,268,284,255,1003.2,503,500.3,1003.2,503,500.3,241,256,230
Pontiac High School,Pontiac Twp HSD 90,269,290,255,1003,502.7,500.3,1003,502.7,500.3,242,260,230
Oak Forest High School,Bremen CHSD 228,270,275,268,1002.8,504.4,498.4,945.2,478.4,466.8,592,596,586
Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,270,407,165,1002.8,489.1,513.8,1002.8,489.1,513.8,243,367,153
McHenry High School-West Campus,McHenry CHSD 156,272,240,301,1002.4,509.8,492.6,1015.4,515.9,499.5,203,185,234
Tri-City High School,Tri City CUSD 1,273,327,229,1002.2,498.1,504.1,1002.2,498.1,504.1,245,291,203
Donovan Sr High School,Donovan CUSD 3,274,329,232,1001.7,497.8,503.9,1001.7,497.8,503.9,248,294,205
Forreston Jr/Sr High Sch,Forrestville Valley CUSD 221,275,306,253,1001.5,501,500.6,1001.5,501,500.6,250,276,227
North Clay Community High School,North Clay CUSD 25,276,247,301,1000.8,508.2,492.6,1000.8,508.2,492.6,251,222,270
Bismarck-Henning High School,Bismarck Henning CUSD,277,257,300,1000.4,507.5,492.9,1000.4,507.5,492.9,252,232,269
Central A & M High School,Central A & M CUD 21,278,189,379,1000,518.1,481.9,1000,518.1,481.9,253,165,343
Cobden High School,Cobden SUD 17,278,322,247,1000,498.8,501.2,1000,498.8,501.2,253,286,219
Pekin Community High School,Pekin CSD 303,278,303,268,1000,501.6,498.4,1000,501.6,498.4,253,273,242
Thompsonville High School,Thompsonville CUSD 174,281,219,350,999.7,513.4,486.2,999.7,513.4,486.2,257,196,310
Dakota Jr Sr High School,Dakota CUSD 201,282,318,259,999.4,499.4,500,996,496.8,499.2,265,305,236
Gillespie High School,Gillespie CUSD 7,283,274,288,999.3,504.5,494.9,999.3,504.5,494.9,258,244,258
Neoga Jr/Sr High School,Neoga CUSD 3,284,325,250,999.1,498.4,500.7,999.1,498.4,500.7,259,288,225
Romeoville High School,Valley View CUSD 365U,285,297,282,998.5,502.1,496.4,1002.1,503.9,498.1,246,252,243
Newton Comm High School,Jasper County CUD 1,286,391,212,998.1,491.4,506.7,998.1,491.4,506.7,260,352,191
Deland-Weldon High School,Deland-Weldon CUSD 57,287,169,410,998,521,477,998,521,477,261,152,374
Mendota Twp High School,Mendota Twp HSD 280,288,308,275,997.7,500.7,497,995.5,499.6,495.9,268,283,254
Blue Ridge High School,Blue Ridge CUSD 18,289,233,345,997.6,510.9,486.7,997.6,510.9,486.7,262,210,304
Noble St Chtr Rauner College Prep,City of Chicago SD 299,290,281,295,997.4,503.6,493.7,956.1,483.7,472.5,406,406,393
Noble St Chtr-Golder College Prep,City of Chicago SD 299,291,299,288,996.9,502,494.9,956.1,483.7,472.5,406,406,393
Cambridge Jr/Sr High School,Cambridge CUSD 227,291,209,380,996.9,515.1,481.8,990.3,510.8,479.5,279,211,361
Hutsonville High School,Hutsonville CUSD 1,293,220,369,996.7,513.3,483.3,996.7,513.3,483.3,264,197,336
Iroquois West High School,Iroquois West CUSD 10,294,312,284,996.1,500,496.1,986.7,495.3,491.4,292,318,276
Arthur-Lovington-Atwood-Hammond,Arthur CUSD 305,295,341,263,995.9,497,498.9,995.9,497,498.9,266,304,238
Lincoln Comm High School,Lincoln CHSD 404,296,266,315,995.7,505.7,490,994.9,505.3,489.6,270,240,283
Carlyle High School,Carlyle CUSD 1,297,342,263,995.6,496.7,498.9,995.6,496.7,498.9,267,307,238
Wilmington High School,Wilmington CUSD 209U,298,279,310,995.1,504,491.1,995.1,504,491.1,269,250,278
Pittsfield High School,Pikeland CUSD 10,299,324,283,994.9,498.7,496.2,991.8,496.8,495,275,305,256
Chicago HS for the Arts,City of Chicago SD 299,300,181,421,994.7,519.5,475.2,956.1,483.7,472.5,406,406,393
Massac County High School,Massac UD 1,301,255,347,994.1,507.6,486.4,994.1,507.6,486.4,271,231,307
Woodstock North High School,Woodstock CUSD 200,302,320,290,993.9,499.2,494.7,1010.1,508.1,502,216,224,213
Shelbyville High School,Shelbyville CUSD 4,303,401,229,993.8,489.7,504.1,993.8,489.7,504.1,272,360,203
Frankfort Comm High School,Frankfort CUSD 168,304,234,373,993.6,510.7,482.9,993.6,510.7,482.9,273,212,337
Belleville High School-East,Belleville Twp HSD 201,305,282,315,993.2,503.3,490,981,497.1,484,310,300,330
Solorio Academy High School,City of Chicago SD 299,306,378,255,993.1,492.8,500.3,956.1,483.7,472.5,406,406,393
Genoa-Kingston High School,Genoa Kingston CUSD 424,307,314,298,992.9,499.8,493.1,992.9,499.8,493.1,274,280,267
Galva Jr-Sr High School,Galva CUSD 224,308,280,326,992.8,503.7,489.1,988,502,485.9,290,270,319
Reed-Custer High School,Reed Custer CUSD 255U,308,379,258,992.8,492.7,500.1,988.8,491,497.8,286,357,246
Belvidere North High Sch,Belvidere CUSD 100,310,310,303,992.5,500.2,492.4,966.1,487.7,478.5,380,372,364
Back of The Yards IB HS,City of Chicago SD 299,310,387,250,992.5,491.8,500.7,956.1,483.7,472.5,406,406,393
Meridian High School,Meridian CUSD 15,312,340,291,991.7,497.1,494.6,991.7,497.1,494.6,276,300,260
Patoka Sr High School,Patoka CUSD 100,313,147,471,991.4,524.3,467.1,972.7,512.7,460,347,200,624
Cisne High School,North Wayne CUSD 200,313,302,320,991.4,501.7,489.7,986.3,499.7,486.7,294,282,304
Sherrard High School,Sherrard CUSD 200,313,326,298,991.4,498.2,493.1,991.4,498.2,493.1,277,290,267
Armstrong High School,Armstrong Twp HSD 225,316,303,324,991,501.6,489.4,991,501.6,489.4,278,273,285
Civic Memorial High School,Bethalto CUSD 8,317,314,312,990.4,499.8,490.5,989,499.2,489.8,285,285,281
Fenton High School,Fenton CHSD 100,318,359,285,990.2,494.3,495.9,990.2,494.3,495.9,280,323,254
Hamilton Jr/Sr High Sch,Hamilton CCSD 328,318,284,338,990.2,503,487.2,990.2,503,487.2,280,256,298
Athens Sr High School,Athens CUSD 213,320,357,287,989.8,494.8,495,989.8,494.8,495,282,321,256
DeKalb High School,DeKalb CUSD 428,321,255,376,989.7,507.6,482,987.6,506.7,480.8,291,236,350
A B Shepard High Sch (Campus),CHSD 218,322,320,313,989.5,499.2,490.3,947.1,477.7,469.4,586,600,568
Pana Sr High School,Pana CUSD 8,323,236,403,989.4,510.4,479,989.4,510.4,479,283,214,363
Villa Grove High School,Villa Grove CUSD 302,324,283,354,989.1,503.1,486,989.1,503.1,486,284,255,318
West Prairie High School,West Prairie CUSD 103,325,210,430,988.6,515,473.6,983.6,511.8,471.8,304,205,553
Tinley Park High School,Bremen CHSD 228,326,297,351,988.3,502.1,486.1,945.2,478.4,466.8,592,596,586
Harlem High School,Harlem UD 122,327,276,365,988.2,504.2,484,988.2,504.2,484,287,247,330
Fisher Jr/Sr High School,Fisher CUSD 1,328,293,355,988.1,502.5,485.7,988.1,502.5,485.7,288,263,320
Calhoun High School,Calhoun CUSD 40,328,369,293,988.1,493.6,494.4,988.1,493.6,494.4,288,329,262
East Leyden High School,Leyden CHSD 212,330,408,267,987.1,488.5,498.7,972.3,484.4,487.9,352,399,293
Anna-Jonesboro High School,Anna Jonesboro CHSD 81,331,317,341,986.5,499.5,486.9,986.5,499.5,486.9,293,284,301
Taylorville Sr High School,Taylorville CUSD 3,332,344,320,985.8,496.2,489.7,985.8,496.2,489.7,295,310,282
Mount Pulaski High School,Mt Pulaski CUSD 23,332,327,331,985.8,498.1,487.7,985.8,498.1,487.7,295,291,295
AlWood  Middle/High School,AlWood CUSD 225,334,369,305,985.7,493.6,492.1,985.7,493.6,492.1,297,329,271
Porta High School,Porta CUSD 202,334,364,307,985.7,494,491.7,985.7,494,491.7,297,326,274
Midland High School,Midland CUSD 7,336,305,366,985.4,501.5,483.9,985.4,501.5,483.9,299,275,334
Lebanon High School,Lebanon CUSD 9,337,373,308,984.8,493.3,491.5,984.8,493.3,491.5,300,333,275
Galatia High School,Galatia CUSD 1,338,424,270,984.6,486.5,498.1,975.9,482.2,493.7,339,569,264
Sandwich Community High School,Sandwich CUSD 430,339,412,279,984.4,487.6,496.7,984.4,487.6,496.7,301,374,252
Noble St Chtr-ITW Speer Acad,City of Chicago SD 299,340,415,277,984.2,487.4,496.8,956.1,483.7,472.5,406,406,393
Salem Community High School,Salem CHSD 600,341,339,345,984,497.2,486.7,984,497.2,486.7,302,299,304
Oakwood High School,Oakwood CUSD 76,342,421,275,983.8,486.8,497,983.8,486.8,497,303,380,250
Pawnee Jr/Sr High Sch,Pawnee CUSD 11,343,365,318,983.6,493.8,489.8,980.7,492.2,488.5,314,345,290
Joliet West High School,Joliet Twp HSD 204,344,368,322,983.1,493.7,489.5,970.9,486.5,484.4,357,384,327
Taft High School,City of Chicago SD 299,345,316,369,983,499.7,483.3,956.1,483.7,472.5,406,406,393
Cumberland High School,Cumberland CUSD 77,346,300,387,982.7,501.9,480.8,982.7,501.9,480.8,306,271,350
Sterling High School,Sterling CUSD 5,347,337,360,982.1,497.3,484.8,983.1,498.1,485,305,291,325
Herrin High School,Herrin CUSD 4,348,335,361,981.9,497.4,484.5,980.5,496.5,484,316,309,330
Manteno High School,Manteno CUSD 5,348,359,332,981.9,494.3,487.6,958,483.7,474.4,399,406,387
